secteur,secteur_nom,indicateur,valeur,annee,unite,sens,tendance,comparaison,cible,source,url_source
energie,Énergie et environnement,Prix du carbone (marché Québec-Californie),"45,11 $ CA par tonne (unités de l'année courante)",Vente aux enchères du 19 août 2026,$ CA/t,,"Revenus pour le Québec : environ 312 M$ à cette vente, versés au Fonds d'électrification et de changements climatiques.",N/D,,Ministère de l'Environnement,https://www.environnement.gouv.qc.ca/changements/carbone/ventes-encheres/avis-resultats.htm
energie,Énergie et environnement,Résultat d'Hydro-Québec et contribution à l'État,"Bénéfice net 2,9 G$; dividende 2,2 G$; contribution totale aux revenus de l'État 4,4 G$",2025,G$ (bénéfice net),haut_mieux,"Bénéfice en hausse de 243 M$ (+9 %) sur 2024, gonflé par la vente d'une participation dans Innergex (256 M$). Premier semestre 2026 : 2,02 G$, en baisse de 257 M$.",N/D,,Hydro-Québec,https://www.hydroquebec.com/data/documents-donnees/pdf/hq-rapport-annuel-2025-francais.pdf
energie,Énergie et environnement,Solde des échanges d'électricité (exportations − importations),"Ventes hors Québec 11,8 TWh; achats 15,2 TWh : importateur net d'environ 3,4 TWh (calcul)",2025,TWh (solde),haut_mieux,"2024 : ventes 15,1 TWh, achats 9,4 TWh. Faible hydraulicité depuis 2023. Ventes au Québec record : 184,9 TWh (2025).","Prix moyen des ventes hors Québec : 14,5 ¢/kWh en 2025 (9,9 ¢ en 2024).",Plan d'action 2035 : 135 à 160 G$ d'investissements 2024-2035 pour augmenter la production.,Hydro-Québec,https://www.hydroquebec.com/data/documents-donnees/pdf/hq-rapport-annuel-2025-francais.pdf
energie,Énergie et environnement,Tarif résidentiel d'électricité,"8,29 ¢/kWh",2025,¢/kWh,bas_mieux,N/D sur 10 ans dans le document consulté.,Présenté par Hydro-Québec comme le plus bas en Amérique du Nord.,,Hydro-Québec,https://www.hydroquebec.com/data/documents-donnees/pdf/hq-rapport-annuel-2025-francais.pdf
energie,Énergie et environnement,Territoire protégé,"16,53 % (275 743 km²)",31 mars 2026,% du territoire,haut_mieux,"Environ 200 000 km² supplémentaires à protéger d'ici 2030. Dans les Basses-terres du Saint-Laurent (sud habité) : 4,66 % seulement.",N/D,"30 % en 2030 (engagement de la COP15, 2022).",Institut de la statistique du Québec,https://statistique.quebec.ca/vitrine/developpement-durable/strategie-2023-2028/nature-et-sante/territoires-proteges-conserves
agriculture,"Agriculture, pêches et alimentation",Revenu agricole net réalisé,"318,9 M$ (données provisoires)",2025,M$,haut_mieux,"Effondrement en 2024 : 90,0 M$ (−81,7 %, données révisées de novembre 2025). Rebond de +305 % en 2025, porté par l'élevage (recettes +6,6 %) et des dépenses stables (+0,4 %).","Ontario : 2 004,1 M$ (2025); Canada : 8,3 G$ (2025).",,Statistique Canada,https://www150.statcan.gc.ca/n1/daily-quotidien/260527/dq260527b-eng.htm
agriculture,"Agriculture, pêches et alimentation",Recettes monétaires agricoles,"13,5 G$ (13 543,1 M$)",2025,M$,haut_mieux,"+4,5 % en 2025.","Ontario : 24,1 G$ (+8,0 %).",,Statistique Canada,https://www150.statcan.gc.ca/n1/daily-quotidien/260527/dq260527b-eng.htm
agriculture,"Agriculture, pêches et alimentation",Hausse de la valeur des terres agricoles,"+4,8 %",2025,% de hausse annuelle,,"+13,3 % (2023), +7,7 % (2024), +4,8 % (2025) : ralentissement. Laurentides-Lanaudière : 24 000 $/acre en moyenne; Montérégie : 23 200 $/acre.",N/D (moyenne canadienne 2025 non extraite),,newswire.ca,https://www.newswire.ca/fr/news-releases/la-valeur-des-terres-agricoles-au-canada-a-poursuivi-sa-progression-en-2025-selon-un-rapport-de-fac-878070251.html
agriculture,"Agriculture, pêches et alimentation",Taux de renouvellement des générations agricoles,30 %,2021 (Recensement de l'agriculture),%,haut_mieux,"38 % en 2016 → 30 % en 2021. Âge moyen de la relève établie : 33,2 ans (34,2 en 2016). 20 % des fermes québécoises ont une relève.",Canada : 24 % (le Québec est au 1er rang). Fermes avec relève : Ontario 17 %.,,Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/agriculture-pecheries-alimentation/agriculture/devenir-agriculteur/ED_portrait_releve_agricole_MAPAQ.pdf
agriculture,"Agriculture, pêches et alimentation",Autosuffisance alimentaire (approximative),"Environ 51 % (déclaration du ministre de l'Agriculture, vers 2020)",vers 2020,%,haut_mieux,"Varie énormément selon les produits : autosuffisant en lait, œufs, volaille; excédentaire en porc, sirop d'érable, canneberge; environ 34 % pour les fruits et légumes.",N/D,Hausse visée à 55-56 % si les objectifs d'achat local sont atteints (selon les mêmes sources).,ledevoir.com,https://www.ledevoir.com/politique/quebec/590083/le-gouvernement-veut-voir-l-autonomie-alimentaire-du-quebec-grimper
agriculture,"Agriculture, pêches et alimentation",Contenu québécois des achats alimentaires,"34,4 G$",2022,G$,haut_mieux,Cible de +10 G$ (Politique bioalimentaire 2018-2025) atteinte trois ans en avance.,N/D,+10 G$ de contenu québécois d'ici 2025 (atteinte).,Gouvernement du Québec,https://www.quebec.ca/gouvernement/politiques-orientations/politique-bioalimentaire
agriculture,"Agriculture, pêches et alimentation",Exportations bioalimentaires internationales,"13,5 G$ (estimation)",2025,G$,haut_mieux,"+6,4 % en 2025 (+800 M$), dont préparations de cacao (+500 M$), érable-miel-sucre (+160 M$). Les exportations vers les É.-U. augmentent pour une 7e année.",N/D,,Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/agriculture-pecheries-alimentation/publications-adm/bulletins/Bioalimentaire-economique/BU_Bioalimentaire_economique_Apercu_2025-2026_MAPAQ.pdf
agriculture,"Agriculture, pêches et alimentation",Pêches maritimes : volumes et concentration,Homard et crabe des neiges : plus de 95 % de la valeur des débarquements,2024,% de la valeur (homard + crabe),bas_mieux,"2015-2024 : volumes −46,3 %, valeur +38,1 %; crevette nordique : −97 % en volume. Record de 119 M$ pour le homard aux Îles-de-la-Madeleine en 2025.",N/D,,ici.radio-canada.ca,https://ici.radio-canada.ca/nouvelle/2256052/productivite-pecheurs-baisse-declin-capture-quebec
transport,Transport et infrastructures,Déficit de maintien d'actifs (DMA) des infrastructures publiques,"44,8 G$ (9,7 % de la valeur de remplacement)",mars 2026,G$,bas_mieux,"+4,6 G$ en un an (40,2 G$ en 2025). 63 % du DMA est pris en charge par le PQI 2026-2036 (58 % au PQI précédent).",N/D,,Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/secretariat-du-conseil-du-tresor/publications-adm/budgets/2026-2027/6_plan_quebecois_infrastructures.pdf
transport,Transport et infrastructures,DMA du réseau routier,"24,5 G$ (55 % du DMA total)",mars 2026,G$,bas_mieux,"22,5 G$ en 2025; 19,3 G$ en 2022. Seulement 43 % du DMA routier est pris en charge d'ici 2036.","Éducation : 9,8 G$ (94 % pris en charge).",,Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/secretariat-du-conseil-du-tresor/publications-adm/budgets/2026-2027/6_plan_quebecois_infrastructures.pdf
transport,Transport et infrastructures,Chaussées en bon état,"51 % (19 % en mauvais état, 30 % en très mauvais état)",2026-2027 (inventaire mars 2026),%,haut_mieux,52 % l'année précédente; environ 50 % en 2022-2023.,Structures du MTMD : 57 % en bon état; ponceaux : 85 %.,,Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/secretariat-du-conseil-du-tresor/publications-adm/budgets/2026-2027/6_plan_quebecois_infrastructures.pdf
transport,Transport et infrastructures,Infrastructures publiques en bon état,54 %,2026-2027,%,haut_mieux,58 % au bilan précédent (2025-2026).,Cégeps : 35 %; organismes scolaires : 47 %; réseau routier : 56 %.,,Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/secretariat-du-conseil-du-tresor/publications-adm/budgets/2026-2027/6_plan_quebecois_infrastructures.pdf
transport,Transport et infrastructures,Investissements annuels dans le réseau routier,"4,1 G$",2025-2026,G$,,"2,2 G$ en 2018-2019 (+86 %).","Transport collectif : 2,8 G$ en 2025-2026 (0,7 G$ en 2018-2019).",,Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/secretariat-du-conseil-du-tresor/publications-adm/budgets/2026-2027/6_plan_quebecois_infrastructures.pdf
transport,Transport et infrastructures,Achalandage de la STM,"293,9 millions de déplacements",2025,millions de déplacements,haut_mieux,"−6,6 % par rapport à 2024 (grèves, baisse du nombre d'étudiants étrangers). Niveau par rapport à 2019 : N/D dans la source consultée.",N/D,,STM,https://www.stm.info/fr/presse/communiques/2026/rapport-d-activite-2025---la-stm-prend-les-moyens-necessaires-pour-proteger-sa-mission
transport,Transport et infrastructures,DMA des infrastructures municipales,Plus de 50 G$ (estimation de l'Union des municipalités du Québec),septembre 2026,G$ (au moins),bas_mieux,N/D,N/D,L'UMQ demande un fonds permanent dédié au maintien des infrastructures.,newswire.ca,https://www.newswire.ca/fr/news-releases/sondage-leger-la-majorite-des-quebecois-a-peur-de-manquer-d-eau-l-umq-demande-un-fonds-dedie-au-maintien-des-infrastructures-883796450.html
regions,Régions et territoire,Croissance démographique par région,"De +15,7 ‰ (Lanaudière) à −0,8 ‰ (Gaspésie–Îles-de-la-Madeleine)",1er juillet 2024 au 1er juillet 2025,‰ (région la plus forte),,"Ralentissement partout : Montréal passe de +33,7 ‰ (2023-2024) à +2,6 ‰. 15 régions sur 17 ont crû; Gaspésie et Côte-Nord ont reculé.","Ensemble du Québec : +7,0 ‰ (+0,7 %) en 2024-2025; puis −0,1 % sur l'année civile 2025 (première baisse).",,Institut de la statistique du Québec,https://statistique.quebec.ca/fr/fichier/fiches-demographiques-regions-administratives-quebec-2025.pdf
regions,Régions et territoire,Part des 65 ans et plus par région,"Gaspésie–Îles-de-la-Madeleine 32,2 %; Bas-Saint-Laurent 29,8 %; Montréal 17,4 %; Nord-du-Québec 10,4 %",2025 (1er juillet),% (région la plus âgée),,"Ensemble du Québec : 21,7 %, part en hausse (le ministère des Finances parle d'un « sommet »).","Québec : 21,7 %.",,Institut de la statistique du Québec,https://statistique.quebec.ca/fr/fichier/fiches-demographiques-regions-administratives-quebec-2025.pdf
regions,Régions et territoire,Solde naturel (naissances − décès),−2 250 pour le Québec; décès plus nombreux que les naissances dans 12 régions sur 17,2025,personnes,haut_mieux,"Positif jusqu'en 2022-2023 (+231), négatif depuis 2024. Fécondité : 1,36 enfant par femme (2025), près du creux historique de 1,35 (2024).",N/D,,Gouvernement du Québec,https://www.quebec.ca/nouvelles/actualites/details/naissances-deces-migrations-comment-la-population-du-quebec-a-t-elle-evolue-en-2025-70376
regions,Régions et territoire,Migration interrégionale,"12 régions gagnantes, 5 perdantes (Montréal, Laval, Abitibi-Témiscamingue, Côte-Nord, Nord-du-Québec)",2024-2025,qualitatif,,Lanaudière et Laurentides : grandes gagnantes année après année. Pertes de Montréal stables; déficit accru en Abitibi-Témiscamingue et Nord-du-Québec.,N/D,,Institut de la statistique du Québec,https://statistique.quebec.ca/fr/fichier/fiches-demographiques-regions-administratives-quebec-2025.pdf
regions,Régions et territoire,Écarts de revenu disponible entre régions,Laurentides : 40 100 $ (le plus élevé); Bas-Saint-Laurent et Mauricie : les plus faibles,2024,$ par habitant (région la plus élevée),,Croissance plus forte en 2024 dans presque toutes les régions (sauf Nord-du-Québec). MRC la plus riche : Pays-d'en-Haut (51 900 $).,Québec : 38 400 $.,,Institut de la statistique du Québec,https://statistique.quebec.ca/fr/communique/revenu-disponible-par-habitant-croissance-accelere-dans-presque-toutes-les-regions-quebec-2024
regions,Régions et territoire,Chômage régional,"De 1,9 % (Chaudière-Appalaches) à 8,8 % (Montréal)",août 2026,% (région la plus élevée),bas_mieux,N/D,"Québec : 5,6 %.",,guichetemplois.gc.ca,https://www.guichetemplois.gc.ca/analyse-tendances/rapport-marche-travail/qc/apercu-marche-travail
regions,Régions et territoire,Premières Nations et Inuit,11 nations; environ 1 % de la population du Québec,données au 31 décembre 2022 (profil gouvernemental),% de la population,,"Nord-du-Québec : âge moyen de 33,6 ans contre 43,1 ans au Québec; l'accroissement naturel y reste le moteur de la croissance.","Principales nations : Cris (~21 000), Innus (16 000+), Attikameks (~8 000), Algonquins (~6 000), Micmacs (5 000+).",,Gouvernement du Québec,https://www.quebec.ca/gouvernement/portrait-quebec/premieres-nations-inuits/profil-des-nations
immigration,Immigration et main-d'œuvre,Postes vacants,"123 700 postes; taux de 3,1 %",2e trimestre 2026,postes,bas_mieux,"Stable par rapport au 2e trimestre 2025; en baisse depuis les sommets post-pandémie (baisse de 13 250 au 3e trimestre 2025 sur un an). Santé et assistance sociale : 21,8 % des postes vacants (26 900).",N/D (comparaison Ontario non extraite),,Institut de la statistique du Québec,https://statistique.quebec.ca/fr/document/postes-vacants-au-quebec/publication/postes-vacants-au-quebec-par-trimestre
immigration,Immigration et main-d'œuvre,Résidents non permanents (RNP),514 050,1er janvier 2026,personnes,,"565 450 un an plus tôt (−51 400). L'accueil net de RNP est passé d'un sommet de 134 400 (2024) à environ 21 000 (2025). Part dans la population : 6,2 % (2025).","Ontario : 8,6 % de la population en 2025 (Desjardins).",Réduire progressivement : maximum de 65 000 travailleurs étrangers temporaires (PTET) et 110 000 étudiants étrangers d'ici fin 2029 (−13 % vs 2024).,Gouvernement du Québec,https://www.quebec.ca/nouvelles/actualites/details/naissances-deces-migrations-comment-la-population-du-quebec-a-t-elle-evolue-en-2025-70376
immigration,Immigration et main-d'œuvre,Immigrants permanents admis,60 150 (incluant les admissions hors cible du PEQ-Diplômés),2025,personnes,,"Admissions régulières : 50 829 (2023), 51 019 (2024), 47 210 à 50 220 prévues (2025).",N/D,Plan 2026 : 43 000 à 47 000 admissions; orientation 2026-2029 : environ 45 000 par an.,Gouvernement du Québec,https://www.quebec.ca/nouvelles/actualites/details/naissances-deces-migrations-comment-la-population-du-quebec-a-t-elle-evolue-en-2025-70376
immigration,Immigration et main-d'œuvre,Connaissance du français à l'admission,78 à 79 % (prévision),2025,%,haut_mieux,"66 % (2023), 73 % (2024), 78-79 % (2025 prévu), 76 % planifié en 2026.",N/D,Plus de 77 % sur la période 2026-2029.,Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/immigration/publications-adm/plan-immigration/PL_immigration_2026_MIFI.pdf
immigration,Immigration et main-d'œuvre,Part des immigrants permanents déjà présents au Québec,55 % (prévision),2025,%,,"38 % (2023), 45 % (2024), 55 % (2025), 54 % planifié en 2026.",N/D,65 % ou plus à la fin de la période 2026-2029.,Gouvernement du Québec,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/immigration/publications-adm/plan-immigration/PL_immigration_2026_MIFI.pdf
immigration,Immigration et main-d'œuvre,Population totale et migration interprovinciale,"9,03 millions (−9 600, −0,1 %); solde interprovincial −7 600",2025,millions d'habitants,,"Croissance record en 2023 (+1,8 %) et 2024 (+2,0 %), puis première baisse. Le ministère des Finances prévoit une baisse jusqu'en 2029 (−0,4 % en 2026).","Canada : +2,8 % (2023) et +3,0 % (2024).",,Gouvernement du Québec,https://www.quebec.ca/nouvelles/actualites/details/naissances-deces-migrations-comment-la-population-du-quebec-a-t-elle-evolue-en-2025-70376
